Technology,Year,t,Revenue (€),OPEX (€),Depreciation (€),EBIT (€),Tax (€),FCF (€),Discount factor,PV (€),Cumulative PV (€)
Oxy-Enriched,2040,10,1231373.79,800681.466841973,154049.85,276642.47315802705,69160.61828950676,361531.70486852026,0.6139132535407593,221949.10519397084,3641225.435967531
Oxy-Enriched,2041,11,1171121.68,766585.6279282703,154049.85,250486.20207172967,62621.55051793242,341914.5015537973,0.5846792890864374,199910.32769681778,3841135.763664349
Oxy-Enriched,2042,12,1114353.13,734733.6796193188,154049.85,225569.60038068108,56392.40009517027,323227.05028551084,0.5568374181775595,179984.91616613205,4021120.679830481
Oxy-Enriched,2043,13,1060264.48,704686.4961091155,154049.85,201528.13389088443,50382.03347272111,305195.9504181633,0.5303213506452946,161851.92863723476,4182972.608467716
Oxy-Enriched,2044,14,1007878.8300000001,675937.2169635068,154049.85,177891.7630364933,44472.940759123325,287468.67227737,0.5050679529955189,145191.21385747092,4328163.822325187
Oxy-Enriched,2045,15,958924.1799999999,649263.2605181827,154049.85,155611.06948181728,38902.76737045432,270758.15211136296,0.4810170980909702,130239.3006130813,4458403.122938268
Oxy-Enriched,2046,16,912645.95,624263.1189778708,154049.85,134332.98102212916,33583.24525553229,254799.58576659687,0.4581115219914002,116726.626038314,4575129.748976582
Oxy-Enriched,2047,17,867765.07,600305.652582189,154049.85,113409.56741781099,28352.391854452748,239107.02556335824,0.43629668761085727,104321.60323777777,4679451.35221436
Oxy-Enriched,2048,18,825678.82,578005.3515960843,154049.85,93623.61840391564,23405.90460097891,224267.56380293673,0.41552065486748313,93187.80497693132,4772639.157191291
Oxy-Enriched,2049,19,785242.01,556802.1516418059,154049.85,74390.00835819411,18597.50208954853,209842.35626864558,0.3957339570166506,83041.74599588888,4855680.90318718
Oxy-Enriched,2050,20,746789.6,536820.9714511342,154049.85,55918.77854886578,13979.694637216446,292539.3794116493,0.3768894828730006,110255.01542644502,4965935.918613625
SFR,Year 0,0,0.0,0.0,0.0,0.0,0.0,-3201692.5785,1.0,-3201692.5785,0.0
SFR,2031,1,1726851.5699999998,1146953.847018,155767.5,424130.22298199986,106032.55574549997,473865.1672364999,0.9523809523809523,451300.159272857,451300.159272857
SFR,2032,2,1642970.23,1092825.63629246,155767.5,394377.0937075401,98594.27342688502,451550.32028065505,0.9070294784580498,409569.4515017279,860869.6107745849
